,Data,Timeframe
116,27.6018977008207,1980-04-01
117,27.6018977008207,1980-05-01
118,27.6018977008207,1980-06-01
119,28.355533132925,1980-07-01
120,28.355533132925,1980-08-01
121,28.355533132925,1980-09-01
122,29.2975774230554,1980-10-01
123,29.2975774230554,1980-11-01
124,29.2975774230554,1980-12-01
125,31.0874615743032,1981-01-01
126,31.0874615743032,1981-02-01
127,31.0874615743032,1981-03-01
128,32.3121191514727,1981-04-01
129,32.3121191514727,1981-05-01
130,32.3121191514727,1981-06-01
131,34.1020033027205,1981-07-01
132,34.1020033027205,1981-08-01
133,34.1020033027205,1981-09-01
134,36.0802963119943,1981-10-01
135,36.0802963119943,1981-11-01
136,36.0802963119943,1981-12-01
137,36.9281361731117,1982-01-01
138,36.9281361731117,1982-02-01
139,36.9281361731117,1982-03-01
140,39.0948380404116,1982-04-01
141,39.0948380404116,1982-05-01
142,39.0948380404116,1982-06-01
143,39.942677901529,1982-07-01
144,39.942677901529,1982-08-01
145,39.942677901529,1982-09-01
146,40.5079044756072,1982-10-01
147,40.5285442399538,1982-11-01
148,40.5285442399538,1982-12-01
149,41.5122467700498,1983-01-01
150,41.5122467700498,1983-02-01
151,41.5122467700498,1983-03-01
152,42.6926898061649,1983-04-01
153,42.6926898061649,1983-05-01
154,42.6926898061649,1983-06-01
155,43.8731328422801,1983-07-01
156,43.8731328422801,1983-08-01
157,43.8731328422801,1983-09-01
158,44.7584651193664,1983-10-01
159,44.7584651193664,1983-11-01
160,44.7584651193664,1983-12-01
161,45.840537902472,1984-01-01
162,45.840537902472,1984-02-01
163,45.840537902472,1984-03-01
164,46.824240432568,1984-04-01
165,46.824240432568,1984-05-01
166,46.824240432568,1984-06-01
167,47.4144619506255,1984-07-01
168,47.4144619506255,1984-08-01
169,47.4144619506255,1984-09-01
170,47.7095727096543,1984-10-01
171,47.7095727096543,1984-11-01
172,47.7095727096543,1984-12-01
173,48.5949049867407,1985-01-01
174,48.5949049867407,1985-02-01
175,48.5949049867407,1985-03-01
176,49.2834967578079,1985-04-01
177,49.2834967578079,1985-05-01
178,49.2834967578079,1985-06-01
179,49.972088528875,1985-07-01
180,49.972088528875,1985-08-01
181,49.972088528875,1985-09-01
182,50.0704587818846,1985-10-01
183,50.0704587818846,1985-11-01
184,50.0704587818846,1985-12-01
185,50.8574208059614,1986-01-01
186,50.8574208059614,1986-02-01
187,50.8574208059614,1986-03-01
188,51.447642324019,1986-04-01
189,51.447642324019,1986-05-01
190,51.447642324019,1986-06-01
191,51.5460125770286,1986-07-01
192,51.5460125770286,1986-08-01
193,51.5460125770286,1986-09-01
194,51.6443828300382,1986-10-01
195,51.6443828300382,1986-11-01
196,51.6443828300382,1986-12-01
197,52.6280853601342,1987-01-01
198,52.6280853601342,1987-02-01
199,52.6280853601342,1987-03-01
200,52.923196119163,1987-04-01
201,52.923196119163,1987-05-01
202,52.923196119163,1987-06-01
203,53.2183068781917,1987-07-01
204,53.2183068781917,1987-08-01
205,53.2183068781917,1987-09-01
206,53.2183068781917,1987-10-01
207,53.2183068781917,1987-11-01
208,53.2183068781917,1987-12-01
209,53.6117878902301,1988-01-01
210,53.6117878902301,1988-02-01
211,53.6117878902301,1988-03-01
212,53.9068986492589,1988-04-01
213,53.9068986492589,1988-05-01
214,53.9068986492589,1988-06-01
215,54.3003796612973,1988-07-01
216,54.3003796612973,1988-08-01
217,54.3003796612973,1988-09-01
218,54.6938606733357,1988-10-01
219,54.6938606733357,1988-11-01
220,54.6938606733357,1988-12-01
221,55.3824524444028,1989-01-01
222,55.3824524444028,1989-02-01
223,55.3824524444028,1989-03-01
224,55.9726739624604,1989-04-01
225,55.9726739624604,1989-05-01
226,55.9726739624604,1989-06-01
